lat,lon,elevation,distance,slope,speed_optimal
43.672008,40.298313,581.0,0.0,0.0,50.0
43.671679,40.298832,581.0,55.5,0.0,50.0
43.671652,40.298805,581.0,59.21,0.0,50.0
43.671584,40.298739,581.0,68.45,0.0,50.0
43.671472,40.298681,581.0,81.75,0.0,50.0
43.67143,40.298623,581.0,88.35,0.0,50.0
43.67136,40.298497,581.0,101.13,0.0,50.0
43.671298,40.298382,581.0,112.66,0.0,50.0
43.671241,40.298263,581.0,124.14,0.0,50.0
43.671135,40.298028,581.0,146.42,0.0,50.0
43.671056,40.29776,562.0,169.69,-39.2242,10.0
43.670985,40.297487,562.0,193.03,0.0,50.0
43.670884,40.297135,562.0,223.48,0.0,50.0
43.670793,40.296755,654.0,255.68,70.7129,10.0
43.670751,40.296492,654.0,277.34,0.0,50.0
43.670743,40.296251,654.0,296.74,0.0,50.0
43.670752,40.296028,654.0,314.71,0.0,50.0
43.670764,40.295877,654.0,326.93,0.0,50.0
43.670787,40.295738,625.0,338.39,-68.4229,10.0
43.670823,40.295573,625.0,352.26,0.0,50.0
43.670963,40.294972,558.0,403.04,-52.8396,10.0
43.671212,40.29408,558.0,479.94,0.0,50.0
43.671571,40.292952,561.0,579.06,1.7336,45.67
43.672186,40.291256,613.0,731.64,18.8185,10.0
43.672502,40.290406,613.0,808.51,0.0,50.0
43.672631,40.290103,613.0,836.79,0.0,50.0
43.672768,40.289827,613.0,863.71,0.0,50.0
43.67289,40.289605,613.0,886.13,0.0,50.0
43.673006,40.289402,559.0,906.94,-68.9276,10.0
43.6731,40.289246,559.0,923.27,0.0,50.0
43.673589,40.288439,559.0,1007.94,0.0,50.0
43.673748,40.288219,559.0,1032.95,0.0,50.0
43.673916,40.288039,559.0,1056.59,0.0,50.0
43.674211,40.287771,559.0,1095.84,0.0,50.0
43.674349,40.287654,559.0,1113.84,0.0,50.0
43.674511,40.287519,559.0,1134.87,0.0,50.0
43.674676,40.28735,613.0,1157.7,67.0796,10.0
